CLIENT_id,surv_time,status,extra_attempts,main_extra_attempt,stuck,mean_time
276,8053,0,5,anagrafica-a,antiriciclaggio,671.083333333333
277,0,0,0,NA,antiriciclaggio,0
278,0.25,0,0,NA,contract-subscription,0.0357142857142857
279,0,0,0,NA,antiriciclaggio,0
280,0,0,0,NA,antiriciclaggio,0
281,288.98333333333335,0,0,NA,antiriciclaggio,144.491666666667
282,0,0,0,NA,antiriciclaggio,0
283,0,0,0,NA,antiriciclaggio,0
284,0,0,0,NA,antiriciclaggio,0
285,119.68333333333334,0,0,NA,contract-subscription,17.097619047619
286,0,0,0,NA,antiriciclaggio,0
287,0,0,0,NA,antiriciclaggio,0
288,0,0,0,NA,antiriciclaggio,0
289,0.2833333333333333,0,0,NA,contract-subscription,0.0472222222222222
290,0,1,0,NA,conclude,0
290,0,1,0,NA,contract-subscription,0
291,980.1166666666667,0,2,anagrafica-c,anagrafica-c,122.514583333333
292,0.03333333333333333,0,0,NA,anagrafica-b,0.0111111111111111
293,0.13333333333333333,0,0,NA,contract-subscription,0.0222222222222222
294,0,0,0,NA,antiriciclaggio,0
295,0,0,2,codice-fiscale,codice-fiscale,0
295,0,0,2,codice-fiscale,codice-fiscale,0
295,0,0,2,codice-fiscale,codice-fiscale,0
296,0,0,0,NA,antiriciclaggio,0
297,0.31666666666666665,0,0,NA,contract-subscription,0.0452380952380952
298,0,1,0,NA,conclude,0
299,0,0,0,NA,antiriciclaggio,0
300,70.66666666666667,0,0,NA,contract-subscription,10.0952380952381
301,0,0,0,NA,antiriciclaggio,0
302,3023.25,1,0,NA,antiriciclaggio,1007.75
303,0.31666666666666665,1,0,NA,conclude,0.0395833333333333
304,0,1,0,NA,conclude,0
305,0.016666666666666666,0,0,NA,anagrafica-a,0.00555555555555556
305,0.016666666666666666,0,0,NA,anagrafica-b,0.00555555555555556
306,0,0,0,NA,antiriciclaggio,0
307,0,0,0,NA,antiriciclaggio,0
308,60.483333333333334,1,0,NA,conclude,7.56041666666667
308,60.483333333333334,1,0,NA,contract-subscription,7.56041666666667
309,0,0,0,NA,antiriciclaggio,0
